scores	norm_scores	matrix	labels	gap	ext
30.0	0.2112676056338028	PAM250	1	8	3
55.0	0.5188679245283019	PAM250	1	8	3
28.0	0.23140495867768596	PAM250	1	8	3
0.0	0.0	PAM250	1	8	3
5.0	0.033783783783783786	PAM250	1	8	3
12.0	0.27906976744186046	PAM250	1	8	3
-1.0	-0.0034129692832764505	PAM250	1	8	3
41.0	0.422680412371134	PAM250	1	8	3
17.0	0.18888888888888888	PAM250	1	8	3
11.0	0.12087912087912088	PAM250	1	8	3
37.0	0.37	PAM250	1	8	3
-4.0	-0.038834951456310676	PAM250	1	8	3
22.0	0.12154696132596685	PAM250	1	8	3
17.0	0.1297709923664122	PAM250	1	8	3
5.0	0.050505050505050504	PAM250	1	8	3
-1.0	-0.005714285714285714	PAM250	1	8	3
7.0	0.04697986577181208	PAM250	1	8	3
8.0	0.025974025974025976	PAM250	1	8	3
2.0	0.008032128514056224	PAM250	1	8	3
-3.0	-0.009375	PAM250	1	8	3
-1.0	-0.003236245954692557	PAM250	1	8	3
30.0	0.12096774193548387	PAM250	1	8	3
0.0	0.0	PAM250	1	8	3
16.0	0.08888888888888889	PAM250	1	8	3
60.0	0.7692307692307693	PAM250	1	8	3
0.0	0.0	PAM250	1	8	3
0.0	0.0	PAM250	1	8	3
0.0	0.0	PAM250	1	8	3
9.0	0.06206896551724138	PAM250	1	8	3
4.0	0.03076923076923077	PAM250	1	8	3
7.0	0.04666666666666667	PAM250	1	8	3
0.0	0.0	PAM250	1	8	3
9.0	0.06923076923076923	PAM250	1	8	3
3.0	0.015228426395939087	PAM250	1	8	3
15.0	0.0635593220338983	PAM250	1	8	3
15.0	0.13043478260869565	PAM250	1	8	3
5.0	0.02074688796680498	PAM250	1	8	3
14.0	0.08588957055214724	PAM250	1	8	3
-3.0	-0.01744186046511628	PAM250	1	8	3
6.0	0.049586776859504134	PAM250	1	8	3
11.0	0.0873015873015873	PAM250	1	8	3
14.0	0.11965811965811966	PAM250	1	8	3
16.0	0.12698412698412698	PAM250	1	8	3
51.0	0.2727272727272727	PAM250	1	8	3
1.0	0.0078125	PAM250	1	8	3
-1.0	-0.007751937984496124	PAM250	1	8	3
9.0	0.028938906752411574	PAM250	1	8	3
247.0	1.5833333333333333	PAM250	1	8	3
7.0	0.16666666666666666	PAM250	1	8	3
60.0	1.3636363636363635	PAM250	1	8	3
4.0	0.046511627906976744	PAM250	0	8	3
2.0	0.025	PAM250	0	8	3
-6.0	-0.11764705882352941	PAM250	0	8	3
1.0	0.006622516556291391	PAM250	0	8	3
23.0	0.35384615384615387	PAM250	0	8	3
0.0	0.0	PAM250	0	8	3
5.0	0.03333333333333333	PAM250	0	8	3
2.0	0.06451612903225806	PAM250	0	8	3
-2.0	-0.02531645569620253	PAM250	0	8	3
0.0	0.0	PAM250	0	8	3
1.0	0.006666666666666667	PAM250	0	8	3
13.0	0.2765957446808511	PAM250	0	8	3
-1.0	-0.01020408163265306	PAM250	0	8	3
14.0	0.08433734939759036	PAM250	0	8	3
2.0	0.019801980198019802	PAM250	0	8	3
4.0	0.03305785123966942	PAM250	0	8	3
3.0	0.030303030303030304	PAM250	0	8	3
7.0	0.13725490196078433	PAM250	0	8	3
2.0	0.1	PAM250	0	8	3
14.0	0.07368421052631578	PAM250	0	8	3
35.0	0.1440329218106996	PAM250	0	8	3
5.0	0.06756756756756757	PAM250	0	8	3
8.0	0.08888888888888889	PAM250	0	8	3
12.0	0.06857142857142857	PAM250	0	8	3
10.0	0.04524886877828054	PAM250	0	8	3
0.0	0.0	PAM250	0	8	3
2.0	0.012903225806451613	PAM250	0	8	3
2.0	0.015267175572519083	PAM250	0	8	3
6.0	0.02654867256637168	PAM250	0	8	3
1.0	0.011494252873563218	PAM250	0	8	3
19.0	0.0794979079497908	PAM250	0	8	3
3.0	0.01935483870967742	PAM250	0	8	3
3.0	0.0234375	PAM250	0	8	3
-6.0	-0.06060606060606061	PAM250	0	8	3
2.0	0.0273972602739726	PAM250	0	8	3
2.0	0.029411764705882353	PAM250	0	8	3
0.0	0.0	PAM250	0	8	3
8.0	0.06557377049180328	PAM250	0	8	3
6.0	0.05454545454545454	PAM250	0	8	3
5.0	0.07352941176470588	PAM250	0	8	3
-2.0	-0.05405405405405406	PAM250	0	8	3
1.0	0.02127659574468085	PAM250	0	8	3
6.0	0.043795620437956206	PAM250	0	8	3
8.0	0.06299212598425197	PAM250	0	8	3
23.0	0.09745762711864407	PAM250	0	8	3
12.0	0.2	PAM250	0	8	3
-1.0	-0.016666666666666666	PAM250	0	8	3
-4.0	-0.15384615384615385	PAM250	0	8	3
6.0	0.14634146341463414	PAM250	0	8	3
2.0	0.021739130434782608	PAM250	0	8	3
329.0	2.316901408450704	MATIO	1	8	3
246.0	2.3207547169811322	MATIO	1	8	3
282.0	2.330578512396694	MATIO	1	8	3
138.0	1.6626506024096386	MATIO	1	8	3
315.0	2.1283783783783785	MATIO	1	8	3
72.0	1.6744186046511629	MATIO	1	8	3
733.0	2.5017064846416384	MATIO	1	8	3
234.0	2.4123711340206184	MATIO	1	8	3
182.0	2.022222222222222	MATIO	1	8	3
184.0	2.021978021978022	MATIO	1	8	3
242.0	2.42	MATIO	1	8	3
184.0	1.7864077669902914	MATIO	1	8	3
329.0	1.8176795580110496	MATIO	1	8	3
245.0	1.8702290076335877	MATIO	1	8	3
286.0	2.888888888888889	MATIO	1	8	3
402.0	2.297142857142857	MATIO	1	8	3
353.0	2.3691275167785233	MATIO	1	8	3
876.0	2.844155844155844	MATIO	1	8	3
658.0	2.642570281124498	MATIO	1	8	3
791.0	2.471875	MATIO	1	8	3
817.0	2.644012944983819	MATIO	1	8	3
478.0	1.9274193548387097	MATIO	1	8	3
427.0	2.1785714285714284	MATIO	1	8	3
438.0	2.433333333333333	MATIO	1	8	3
142.0	1.8205128205128205	MATIO	1	8	3
308.0	1.9493670886075949	MATIO	1	8	3
666.0	2.0943396226415096	MATIO	1	8	3
408.0	1.9615384615384615	MATIO	1	8	3
346.0	2.386206896551724	MATIO	1	8	3
273.0	2.1	MATIO	1	8	3
326.0	2.1733333333333333	MATIO	1	8	3
369.0	1.9732620320855614	MATIO	1	8	3
219.0	1.6846153846153846	MATIO	1	8	3
437.0	2.218274111675127	MATIO	1	8	3
489.0	2.0720338983050848	MATIO	1	8	3
197.0	1.7130434782608697	MATIO	1	8	3
589.0	2.4439834024896268	MATIO	1	8	3
288.0	1.7668711656441718	MATIO	1	8	3
313.0	1.819767441860465	MATIO	1	8	3
250.0	2.0661157024793386	MATIO	1	8	3
257.0	2.0396825396825395	MATIO	1	8	3
221.0	1.8888888888888888	MATIO	1	8	3
216.0	1.7142857142857142	MATIO	1	8	3
336.0	1.7967914438502675	MATIO	1	8	3
293.0	2.2890625	MATIO	1	8	3
213.0	1.6511627906976745	MATIO	1	8	3
690.0	2.2186495176848875	MATIO	1	8	3
388.0	2.4871794871794872	MATIO	1	8	3
76.0	1.8095238095238095	MATIO	1	8	3
86.0	1.9545454545454546	MATIO	1	8	3
204.0	2.372093023255814	MATIO	0	8	3
180.0	2.25	MATIO	0	8	3
110.0	2.156862745098039	MATIO	0	8	3
313.0	2.0728476821192054	MATIO	0	8	3
98.0	1.5076923076923077	MATIO	0	8	3
208.0	2.122448979591837	MATIO	0	8	3
336.0	2.24	MATIO	0	8	3
67.0	2.161290322580645	MATIO	0	8	3
144.0	1.8227848101265822	MATIO	0	8	3
71.0	1.775	MATIO	0	8	3
329.0	2.1933333333333334	MATIO	0	8	3
100.0	2.127659574468085	MATIO	0	8	3
198.0	2.020408163265306	MATIO	0	8	3
379.0	2.283132530120482	MATIO	0	8	3
202.0	2.0	MATIO	0	8	3
268.0	2.2148760330578514	MATIO	0	8	3
222.0	2.242424242424242	MATIO	0	8	3
141.0	2.764705882352941	MATIO	0	8	3
34.0	1.7	MATIO	0	8	3
484.0	2.5473684210526315	MATIO	0	8	3
488.0	2.0082304526748973	MATIO	0	8	3
121.0	1.635135135135135	MATIO	0	8	3
191.0	2.1222222222222222	MATIO	0	8	3
360.0	2.057142857142857	MATIO	0	8	3
416.0	1.8823529411764706	MATIO	0	8	3
197.0	2.4936708860759493	MATIO	0	8	3
351.0	2.264516129032258	MATIO	0	8	3
288.0	2.198473282442748	MATIO	0	8	3
532.0	2.353982300884956	MATIO	0	8	3
180.0	2.0689655172413794	MATIO	0	8	3
567.0	2.3723849372384938	MATIO	0	8	3
312.0	2.0129032258064514	MATIO	0	8	3
245.0	1.9140625	MATIO	0	8	3
214.0	2.1616161616161618	MATIO	0	8	3
173.0	2.3698630136986303	MATIO	0	8	3
148.0	2.176470588235294	MATIO	0	8	3
78.0	2.1666666666666665	MATIO	0	8	3
211.0	1.7295081967213115	MATIO	0	8	3
215.0	1.9545454545454546	MATIO	0	8	3
134.0	1.9705882352941178	MATIO	0	8	3
87.0	2.3513513513513513	MATIO	0	8	3
93.0	1.9787234042553192	MATIO	0	8	3
312.0	2.2773722627737225	MATIO	0	8	3
280.0	2.204724409448819	MATIO	0	8	3
515.0	2.1822033898305087	MATIO	0	8	3
94.0	1.5666666666666667	MATIO	0	8	3
112.0	1.8666666666666667	MATIO	0	8	3
46.0	1.7692307692307692	MATIO	0	8	3
92.0	2.2439024390243905	MATIO	0	8	3
190.0	2.0652173913043477	MATIO	0	8	3
4.0	0.028169014084507043	BLOSUM62	1	8	3
24.0	0.22641509433962265	BLOSUM62	1	8	3
12.0	0.09917355371900827	BLOSUM62	1	8	3
4.0	0.04819277108433735	BLOSUM62	1	8	3
1.0	0.006756756756756757	BLOSUM62	1	8	3
1.0	0.023255813953488372	BLOSUM62	1	8	3
-1.0	-0.0034129692832764505	BLOSUM62	1	8	3
18.0	0.18556701030927836	BLOSUM62	1	8	3
16.0	0.17777777777777778	BLOSUM62	1	8	3
12.0	0.13186813186813187	BLOSUM62	1	8	3
3.0	0.03	BLOSUM62	1	8	3
-2.0	-0.019417475728155338	BLOSUM62	1	8	3
20.0	0.11049723756906077	BLOSUM62	1	8	3
4.0	0.030534351145038167	BLOSUM62	1	8	3
3.0	0.030303030303030304	BLOSUM62	1	8	3
-1.0	-0.005714285714285714	BLOSUM62	1	8	3
4.0	0.026845637583892617	BLOSUM62	1	8	3
7.0	0.022727272727272728	BLOSUM62	1	8	3
0.0	0.0	BLOSUM62	1	8	3
-3.0	-0.009375	BLOSUM62	1	8	3
-1.0	-0.003236245954692557	BLOSUM62	1	8	3
7.0	0.028225806451612902	BLOSUM62	1	8	3
-1.0	-0.00510204081632653	BLOSUM62	1	8	3
0.0	0.0	BLOSUM62	1	8	3
48.0	0.6153846153846154	BLOSUM62	1	8	3
-1.0	-0.006329113924050633	BLOSUM62	1	8	3
0.0	0.0	BLOSUM62	1	8	3
0.0	0.0	BLOSUM62	1	8	3
1.0	0.006896551724137931	BLOSUM62	1	8	3
2.0	0.015384615384615385	BLOSUM62	1	8	3
0.0	0.0	BLOSUM62	1	8	3
-1.0	-0.0053475935828877	BLOSUM62	1	8	3
2.0	0.015384615384615385	BLOSUM62	1	8	3
5.0	0.025380710659898477	BLOSUM62	1	8	3
10.0	0.0423728813559322	BLOSUM62	1	8	3
3.0	0.02608695652173913	BLOSUM62	1	8	3
6.0	0.024896265560165973	BLOSUM62	1	8	3
4.0	0.024539877300613498	BLOSUM62	1	8	3
-4.0	-0.023255813953488372	BLOSUM62	1	8	3
2.0	0.01652892561983471	BLOSUM62	1	8	3
1.0	0.007936507936507936	BLOSUM62	1	8	3
0.0	0.0	BLOSUM62	1	8	3
3.0	0.023809523809523808	BLOSUM62	1	8	3
52.0	0.27807486631016043	BLOSUM62	1	8	3
-2.0	-0.015625	BLOSUM62	1	8	3
-1.0	-0.007751937984496124	BLOSUM62	1	8	3
-2.0	-0.006430868167202572	BLOSUM62	1	8	3
246.0	1.5769230769230769	BLOSUM62	1	8	3
4.0	0.09523809523809523	BLOSUM62	1	8	3
27.0	0.6136363636363636	BLOSUM62	1	8	3
0.0	0.0	BLOSUM62	0	8	3
-1.0	-0.0125	BLOSUM62	0	8	3
-3.0	-0.058823529411764705	BLOSUM62	0	8	3
-2.0	-0.013245033112582781	BLOSUM62	0	8	3
6.0	0.09230769230769231	BLOSUM62	0	8	3
-2.0	-0.02040816326530612	BLOSUM62	0	8	3
6.0	0.04	BLOSUM62	0	8	3
-1.0	-0.03225806451612903	BLOSUM62	0	8	3
-1.0	-0.012658227848101266	BLOSUM62	0	8	3
0.0	0.0	BLOSUM62	0	8	3
0.0	0.0	BLOSUM62	0	8	3
3.0	0.06382978723404255	BLOSUM62	0	8	3
0.0	0.0	BLOSUM62	0	8	3
-2.0	-0.012048192771084338	BLOSUM62	0	8	3
0.0	0.0	BLOSUM62	0	8	3
-2.0	-0.01652892561983471	BLOSUM62	0	8	3
-3.0	-0.030303030303030304	BLOSUM62	0	8	3
0.0	0.0	BLOSUM62	0	8	3
0.0	0.0	BLOSUM62	0	8	3
13.0	0.06842105263157895	BLOSUM62	0	8	3
5.0	0.0205761316872428	BLOSUM62	0	8	3
5.0	0.06756756756756757	BLOSUM62	0	8	3
4.0	0.044444444444444446	BLOSUM62	0	8	3
-3.0	-0.017142857142857144	BLOSUM62	0	8	3
-2.0	-0.00904977375565611	BLOSUM62	0	8	3
-2.0	-0.02531645569620253	BLOSUM62	0	8	3
-3.0	-0.01935483870967742	BLOSUM62	0	8	3
0.0	0.0	BLOSUM62	0	8	3
3.0	0.01327433628318584	BLOSUM62	0	8	3
1.0	0.011494252873563218	BLOSUM62	0	8	3
1.0	0.0041841004184100415	BLOSUM62	0	8	3
7.0	0.04516129032258064	BLOSUM62	0	8	3
-1.0	-0.0078125	BLOSUM62	0	8	3
-3.0	-0.030303030303030304	BLOSUM62	0	8	3
0.0	0.0	BLOSUM62	0	8	3
1.0	0.014705882352941176	BLOSUM62	0	8	3
1.0	0.027777777777777776	BLOSUM62	0	8	3
-4.0	-0.03278688524590164	BLOSUM62	0	8	3
-1.0	-0.00909090909090909	BLOSUM62	0	8	3
-3.0	-0.04411764705882353	BLOSUM62	0	8	3
-2.0	-0.05405405405405406	BLOSUM62	0	8	3
-1.0	-0.02127659574468085	BLOSUM62	0	8	3
-2.0	-0.014598540145985401	BLOSUM62	0	8	3
-1.0	-0.007874015748031496	BLOSUM62	0	8	3
7.0	0.029661016949152543	BLOSUM62	0	8	3
8.0	0.13333333333333333	BLOSUM62	0	8	3
0.0	0.0	BLOSUM62	0	8	3
-1.0	-0.038461538461538464	BLOSUM62	0	8	3
0.0	0.0	BLOSUM62	0	8	3
1.0	0.010869565217391304	BLOSUM62	0	8	3
4.0	0.028169014084507043	PAM100	1	8	3
20.0	0.18867924528301888	PAM100	1	8	3
13.0	0.10743801652892562	PAM100	1	8	3
-4.0	-0.04819277108433735	PAM100	1	8	3
4.0	0.02702702702702703	PAM100	1	8	3
2.0	0.046511627906976744	PAM100	1	8	3
-3.0	-0.010238907849829351	PAM100	1	8	3
6.0	0.061855670103092786	PAM100	1	8	3
14.0	0.15555555555555556	PAM100	1	8	3
3.0	0.03296703296703297	PAM100	1	8	3
1.0	0.01	PAM100	1	8	3
-5.0	-0.04854368932038835	PAM100	1	8	3
0.0	0.0	PAM100	1	8	3
2.0	0.015267175572519083	PAM100	1	8	3
2.0	0.020202020202020204	PAM100	1	8	3
-3.0	-0.017142857142857144	PAM100	1	8	3
-1.0	-0.006711409395973154	PAM100	1	8	3
2.0	0.006493506493506494	PAM100	1	8	3
-2.0	-0.008032128514056224	PAM100	1	8	3
-4.0	-0.0125	PAM100	1	8	3
-1.0	-0.003236245954692557	PAM100	1	8	3
5.0	0.020161290322580645	PAM100	1	8	3
-4.0	-0.02040816326530612	PAM100	1	8	3
-1.0	-0.005555555555555556	PAM100	1	8	3
38.0	0.48717948717948717	PAM100	1	8	3
-1.0	-0.006329113924050633	PAM100	1	8	3
0.0	0.0	PAM100	1	8	3
-3.0	-0.014423076923076924	PAM100	1	8	3
2.0	0.013793103448275862	PAM100	1	8	3
-2.0	-0.015384615384615385	PAM100	1	8	3
-1.0	-0.006666666666666667	PAM100	1	8	3
-2.0	-0.0106951871657754	PAM100	1	8	3
1.0	0.007692307692307693	PAM100	1	8	3
0.0	0.0	PAM100	1	8	3
4.0	0.01694915254237288	PAM100	1	8	3
-2.0	-0.017391304347826087	PAM100	1	8	3
5.0	0.02074688796680498	PAM100	1	8	3
1.0	0.006134969325153374	PAM100	1	8	3
-6.0	-0.03488372093023256	PAM100	1	8	3
4.0	0.03305785123966942	PAM100	1	8	3
2.0	0.015873015873015872	PAM100	1	8	3
2.0	0.017094017094017096	PAM100	1	8	3
5.0	0.03968253968253968	PAM100	1	8	3
15.0	0.08021390374331551	PAM100	1	8	3
-4.0	-0.03125	PAM100	1	8	3
-3.0	-0.023255813953488372	PAM100	1	8	3
-2.0	-0.006430868167202572	PAM100	1	8	3
207.0	1.3269230769230769	PAM100	1	8	3
2.0	0.047619047619047616	PAM100	1	8	3
18.0	0.4090909090909091	PAM100	1	8	3
-1.0	-0.011627906976744186	PAM100	0	8	3
-4.0	-0.05	PAM100	0	8	3
-8.0	-0.1568627450980392	PAM100	0	8	3
-2.0	-0.013245033112582781	PAM100	0	8	3
-3.0	-0.046153846153846156	PAM100	0	8	3
-2.0	-0.02040816326530612	PAM100	0	8	3
5.0	0.03333333333333333	PAM100	0	8	3
-1.0	-0.03225806451612903	PAM100	0	8	3
-3.0	-0.0379746835443038	PAM100	0	8	3
0.0	0.0	PAM100	0	8	3
0.0	0.0	PAM100	0	8	3
2.0	0.0425531914893617	PAM100	0	8	3
-3.0	-0.030612244897959183	PAM100	0	8	3
-1.0	-0.006024096385542169	PAM100	0	8	3
1.0	0.009900990099009901	PAM100	0	8	3
-1.0	-0.008264462809917356	PAM100	0	8	3
-1.0	-0.010101010101010102	PAM100	0	8	3
-2.0	-0.0392156862745098	PAM100	0	8	3
-3.0	-0.15	PAM100	0	8	3
14.0	0.07368421052631578	PAM100	0	8	3
6.0	0.024691358024691357	PAM100	0	8	3
5.0	0.06756756756756757	PAM100	0	8	3
3.0	0.03333333333333333	PAM100	0	8	3
-4.0	-0.022857142857142857	PAM100	0	8	3
-1.0	-0.004524886877828055	PAM100	0	8	3
-1.0	-0.012658227848101266	PAM100	0	8	3
1.0	0.0064516129032258064	PAM100	0	8	3
0.0	0.0	PAM100	0	8	3
-4.0	-0.017699115044247787	PAM100	0	8	3
1.0	0.011494252873563218	PAM100	0	8	3
-3.0	-0.012552301255230125	PAM100	0	8	3
-5.0	-0.03225806451612903	PAM100	0	8	3
-1.0	-0.0078125	PAM100	0	8	3
-5.0	-0.050505050505050504	PAM100	0	8	3
1.0	0.0136986301369863	PAM100	0	8	3
-2.0	-0.029411764705882353	PAM100	0	8	3
-1.0	-0.027777777777777776	PAM100	0	8	3
-6.0	-0.04918032786885246	PAM100	0	8	3
-3.0	-0.02727272727272727	PAM100	0	8	3
-4.0	-0.058823529411764705	PAM100	0	8	3
-4.0	-0.10810810810810811	PAM100	0	8	3
-1.0	-0.02127659574468085	PAM100	0	8	3
-4.0	-0.029197080291970802	PAM100	0	8	3
-8.0	-0.06299212598425197	PAM100	0	8	3
11.0	0.046610169491525424	PAM100	0	8	3
2.0	0.03333333333333333	PAM100	0	8	3
-3.0	-0.05	PAM100	0	8	3
-8.0	-0.3076923076923077	PAM100	0	8	3
-2.0	-0.04878048780487805	PAM100	0	8	3
-1.0	-0.010869565217391304	PAM100	0	8	3
24.0	0.16901408450704225	BLOSUM50	1	8	3
47.0	0.44339622641509435	BLOSUM50	1	8	3
21.0	0.17355371900826447	BLOSUM50	1	8	3
38.0	0.4578313253012048	BLOSUM50	1	8	3
4.0	0.02702702702702703	BLOSUM50	1	8	3
11.0	0.2558139534883721	BLOSUM50	1	8	3
-2.0	-0.006825938566552901	BLOSUM50	1	8	3
36.0	0.3711340206185567	BLOSUM50	1	8	3
21.0	0.23333333333333334	BLOSUM50	1	8	3
17.0	0.18681318681318682	BLOSUM50	1	8	3
27.0	0.27	BLOSUM50	1	8	3
-2.0	-0.019417475728155338	BLOSUM50	1	8	3
44.0	0.2430939226519337	BLOSUM50	1	8	3
12.0	0.0916030534351145	BLOSUM50	1	8	3
4.0	0.04040404040404041	BLOSUM50	1	8	3
-1.0	-0.005714285714285714	BLOSUM50	1	8	3
5.0	0.03355704697986577	BLOSUM50	1	8	3
12.0	0.03896103896103896	BLOSUM50	1	8	3
-1.0	-0.004016064257028112	BLOSUM50	1	8	3
-3.0	-0.009375	BLOSUM50	1	8	3
-1.0	-0.003236245954692557	BLOSUM50	1	8	3
8.0	0.03225806451612903	BLOSUM50	1	8	3
6.0	0.030612244897959183	BLOSUM50	1	8	3
21.0	0.11666666666666667	BLOSUM50	1	8	3
77.0	0.9871794871794872	BLOSUM50	1	8	3
-1.0	-0.006329113924050633	BLOSUM50	1	8	3
0.0	0.0	BLOSUM50	1	8	3
1.0	0.004807692307692308	BLOSUM50	1	8	3
1.0	0.006896551724137931	BLOSUM50	1	8	3
7.0	0.05384615384615385	BLOSUM50	1	8	3
0.0	0.0	BLOSUM50	1	8	3
-1.0	-0.0053475935828877	BLOSUM50	1	8	3
14.0	0.1076923076923077	BLOSUM50	1	8	3
7.0	0.03553299492385787	BLOSUM50	1	8	3
16.0	0.06779661016949153	BLOSUM50	1	8	3
20.0	0.17391304347826086	BLOSUM50	1	8	3
10.0	0.04149377593360996	BLOSUM50	1	8	3
11.0	0.06748466257668712	BLOSUM50	1	8	3
-4.0	-0.023255813953488372	BLOSUM50	1	8	3
3.0	0.024793388429752067	BLOSUM50	1	8	3
2.0	0.015873015873015872	BLOSUM50	1	8	3
2.0	0.017094017094017096	BLOSUM50	1	8	3
20.0	0.15873015873015872	BLOSUM50	1	8	3
92.0	0.4919786096256685	BLOSUM50	1	8	3
18.0	0.140625	BLOSUM50	1	8	3
-1.0	-0.007751937984496124	BLOSUM50	1	8	3
-2.0	-0.006430868167202572	BLOSUM50	1	8	3
348.0	2.230769230769231	BLOSUM50	1	8	3
9.0	0.21428571428571427	BLOSUM50	1	8	3
61.0	1.3863636363636365	BLOSUM50	1	8	3
6.0	0.06976744186046512	BLOSUM50	0	8	3
3.0	0.0375	BLOSUM50	0	8	3
-3.0	-0.058823529411764705	BLOSUM50	0	8	3
5.0	0.033112582781456956	BLOSUM50	0	8	3
28.0	0.4307692307692308	BLOSUM50	0	8	3
-2.0	-0.02040816326530612	BLOSUM50	0	8	3
8.0	0.05333333333333334	BLOSUM50	0	8	3
-1.0	-0.03225806451612903	BLOSUM50	0	8	3
-1.0	-0.012658227848101266	BLOSUM50	0	8	3
0.0	0.0	BLOSUM50	0	8	3
0.0	0.0	BLOSUM50	0	8	3
12.0	0.2553191489361702	BLOSUM50	0	8	3
0.0	0.0	BLOSUM50	0	8	3
-3.0	-0.018072289156626505	BLOSUM50	0	8	3
0.0	0.0	BLOSUM50	0	8	3
12.0	0.09917355371900827	BLOSUM50	0	8	3
-1.0	-0.010101010101010102	BLOSUM50	0	8	3
4.0	0.0784313725490196	BLOSUM50	0	8	3
5.0	0.25	BLOSUM50	0	8	3
17.0	0.08947368421052632	BLOSUM50	0	8	3
27.0	0.1111111111111111	BLOSUM50	0	8	3
6.0	0.08108108108108109	BLOSUM50	0	8	3
4.0	0.044444444444444446	BLOSUM50	0	8	3
-4.0	-0.022857142857142857	BLOSUM50	0	8	3
-3.0	-0.013574660633484163	BLOSUM50	0	8	3
-1.0	-0.012658227848101266	BLOSUM50	0	8	3
-3.0	-0.01935483870967742	BLOSUM50	0	8	3
0.0	0.0	BLOSUM50	0	8	3
16.0	0.07079646017699115	BLOSUM50	0	8	3
1.0	0.011494252873563218	BLOSUM50	0	8	3
32.0	0.13389121338912133	BLOSUM50	0	8	3
11.0	0.07096774193548387	BLOSUM50	0	8	3
-1.0	-0.0078125	BLOSUM50	0	8	3
-4.0	-0.04040404040404041	BLOSUM50	0	8	3
0.0	0.0	BLOSUM50	0	8	3
1.0	0.014705882352941176	BLOSUM50	0	8	3
1.0	0.027777777777777776	BLOSUM50	0	8	3
3.0	0.02459016393442623	BLOSUM50	0	8	3
2.0	0.01818181818181818	BLOSUM50	0	8	3
4.0	0.058823529411764705	BLOSUM50	0	8	3
-3.0	-0.08108108108108109	BLOSUM50	0	8	3
-1.0	-0.02127659574468085	BLOSUM50	0	8	3
11.0	0.08029197080291971	BLOSUM50	0	8	3
9.0	0.07086614173228346	BLOSUM50	0	8	3
19.0	0.08050847457627118	BLOSUM50	0	8	3
21.0	0.35	BLOSUM50	0	8	3
-1.0	-0.016666666666666666	BLOSUM50	0	8	3
-2.0	-0.07692307692307693	BLOSUM50	0	8	3
9.0	0.21951219512195122	BLOSUM50	0	8	3
6.0	0.06521739130434782	BLOSUM50	0	8	3
